verse_key,position,arabic,transliteration,malay_base,english,old_thai,new_thai,category,correction_reason
2:159,17,يَلْعَنُهُمُ,yalʿanuhumu,melaknati/mengutuk mereka,curses them,อัลลอฮฺทรงสาปแช่งพวกเขา,ทรงสาปแช่งพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:159,19,وَيَلْعَنُهُمُ,wayalʿanuhumu,dan melaknati/mengutuk mereka,and curse them,และบรรดาผู้สาปแช่งก็จะสาปแช่งพวกเขา,และก็จะสาปแช่งพวกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'บรรดาผู้สาปแช่ง' from verb/phrase to establish strict 1-to-1 match
2:167,14,يُرِيهِمُ,yurīhimu,memperlihatkan kepada mereka,will show them,อัลลอฮฺจะทรงให้พวกเขาเห็น,จะทรงให้พวกเขาเห็น,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:170,6,أَنزَلَ,anzala,menurunkan,has revealed,อัลลอฮฺทรงประทานลงมา,ทรงประทานลงมา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:172,6,طَيِّبَٰتِ,ṭayyibāti,yang baik-baik,(the) good,สิ่งที่ดีทั้งหลาย,ดีทั้งหลาย,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สิ่งที่' from verb/phrase to establish strict 1-to-1 match
2:197,20,يَعْلَمْهُ,yaʿlamhu,niscaya mengetahuinya,knows it,อัลลอฮฺทรงรู้มัน,ทรงรู้มัน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:204,4,يُعْجِبُكَ,yuʿ'jibuka,menarik hatimu,pleases you,คำพูดของเขาทำให้ท่านพึงใจ,ทำให้ท่านพึงใจ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'คำพูดของเขา' from verb/phrase to establish strict 1-to-1 match
2:210,1,هَلْ,hal,apakah/tidakkah,Are,(misaligned/shifted),หรือไม่ที่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,2,يَنظُرُونَ,yanẓurūna,mereka menanti-nanti,they waiting,(misaligned/shifted),พวกเขารอคอย,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,3,إِلَّآ,illā,kecuali/melainkan,[except],(misaligned/shifted),เว้นแต่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,4,أَن,an,bahwa,that,(misaligned/shifted),การที่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,5,يَأْتِيَهُمُ,yatiyahumu,datang kepada mereka,comes to them,(misaligned/shifted),จะมายังพวกเขา,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,6,ٱللَّهُ,l-lahu,Allah,Allah,(misaligned/shifted),อัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,7,فِى,fī,dalam,in,(misaligned/shifted),ใน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,8,ظُلَلٍۢ,ẓulalin,naungan,(the) shadows,(misaligned/shifted),ร่มเงา,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,9,مِّنَ,mina,dari,of,(misaligned/shifted),แห่ง,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,10,ٱلْغَمَامِ,l-ghamāmi,awan,[the] clouds,(misaligned/shifted),มวลเมฆ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,11,وَٱلْمَلَٰٓئِكَةُ,wal-malāikatu,dan Malaikat,and the Angels,(misaligned/shifted),และบรรดามะลาอิกะฮ์,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,12,وَقُضِىَ,waquḍiya,dan telah diputuskan,and is decreed,(misaligned/shifted),และได้ถูกตัดสินแล้ว,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,13,ٱلْأَمْرُ ۚ,l-amru,perkara,the matter,(misaligned/shifted),ซึ่งกิจการงาน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,14,وَإِلَى,wa-ilā,dan kepada,And to,(misaligned/shifted),และยัง,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,15,ٱللَّهِ,l-lahi,Allah,Allah,(misaligned/shifted),อัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,16,تُرْجَعُ,tur'jaʿu,dikembalikan,return,(misaligned/shifted),จะถูกนำกลับไป,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:210,17,ٱلْأُمُورُ,l-umūru,perkara,(all) the matters,(misaligned/shifted),กิจการทั้งมวล,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:213,5,فَبَعَثَ,fabaʿatha,maka mengutus,then raised up,ดังนั้นอัลลอฮฺ,จึงได้ทรงแต่งตั้ง,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:213,33,فَهَدَى,fahadā,maka memberi petunjuk,And guided,ดังนั้นอัลลอฮฺ,จึงได้ทรงนำทาง,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:222,20,أَمَرَكُمُ,amarakumu,memerintahkan kamu,has ordered you,อัลลอฮฺทรงบัญชาใช้พวกท่าน,ทรงบัญชาใช้พวกท่าน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:243,12,فَقَالَ,faqāla,maka berfirman,Then said,(misaligned/shifted),แล้วพระองค์จึงตรัส,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
2:245,4,يُقْرِضُ,yuq'riḍu,(dia) memberi pinjaman,will lend,ให้อัลลอฮฺ,ให้กู้ยืม,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:251,4,وَقَتَلَ,waqatala,dan membunuh,and killed,และดาบูดได้สังหาร,และได้สังหาร,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ดาบูด' from verb/phrase to establish strict 1-to-1 match
2:251,7,وَءَاتَٰهُ,waātāhu,dan memberikan kepadanya,and gave him,และอัลลอฮฺได้ทรงประทานแก่เขา,และได้ทรงประทานแก่เขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:253,9,كَلَّمَ,kallama,berkata-kata,spoke,อัลลอฮฺทรงตรัสด้วย,ทรงตรัสด้วย,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:259,17,فَأَمَاتَهُ,fa-amātahu,maka mematikannya,Then he was made to die,ดังนั้นอัลลอฮฺจึงให้เขาตาย,ดังนั้นจึงให้เขาตาย,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
2:260,29,مِّنْهُنَّ,min'hunna,daripadanya,of them,ส่วนหนึ่งจากพวกมัน,จากพวกมัน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ส่วนหนึ่ง' from verb/phrase to establish strict 1-to-1 match
2:266,1,أَيَوَدُّ,ayawaddu,apakah ingin,Would like,คนใดในพวกท่านอยากจะ,อยากจะ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'คนใดในพวกท่าน' from verb/phrase to establish strict 1-to-1 match
2:267,6,طَيِّبَٰتِ,ṭayyibāti,yang baik-baik,(the) good things,สิ่งที่ดีๆ,ดีๆ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'สิ่งที่' from verb/phrase to establish strict 1-to-1 match
2:283,14,فَلْيُؤَدِّ,falyu-addi,maka hendaklah menunaikan,then let discharge,ก็ให้ผู้ที่,ก็ให้ปฏิบัติตาม,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ผู้ที่' from verb/phrase to establish strict 1-to-1 match
3:8,3,تُزِغْ,tuzigh,Engkau condongkan pada kesesatan,deviate,ให้หัวใจของเราเอียงเอน,ให้เอียงเอน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'หัวใจของเรา' from verb/phrase to establish strict 1-to-1 match
3:11,9,فَأَخَذَهُمُ,fa-akhadhahumu,maka menyiksa mereka,so seized them,แล้วอัลลอฮฺจึงทรงลงโทษพวกเขา,แล้วจึงทรงลงโทษพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:27,1,تُولِجُ,tūliju,Engkau masukkan,You cause to enter,พระองค์ทรงให้กลางคืนแทรก,พระองค์ทรงให้แทรก,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลางคืน' from verb/phrase to establish strict 1-to-1 match
3:27,5,وَتُولِجُ,watūliju,dan Engkau masukkan,and You cause to enter,และทรงให้กลางวันแทรก,และทรงให้แทรก,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลางวัน' from verb/phrase to establish strict 1-to-1 match
3:28,22,وَيُحَذِّرُكُمُ,wayuḥadhirukumu,dan memperingatkan kamu,And warns you,และอัลลอฮฺทรงเตือนพวกท่าน,และทรงเตือนพวกท่าน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:29,9,يَعْلَمْهُ,yaʿlamhu,pasti mengetahuinya,knows it,อัลลอฮฺย่อมรู้มัน,ย่อมรู้มัน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:30,21,وَيُحَذِّرُكُمُ,wayuḥadhirukumu,dan memperingatkan kamu,And warns you,และอัลลอฮฺทรงเตือนพวกท่าน,และทรงเตือนพวกท่าน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:31,7,يُحْبِبْكُمُ,yuḥ'bib'kumu,mencintai kamu,will love you,อัลลอฮฺจะทรงรักพวกท่าน,จะทรงรักพวกท่าน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:37,1,فَتَقَبَّلَهَا,fataqabbalahā,maka menerimanya,So accepted her,ดังนั้นพระเจ้าของนางจึงทรงรับนาง,ดังนั้นจึงทรงรับนาง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พระเจ้าของนาง' from verb/phrase to establish strict 1-to-1 match
3:37,8,وَكَفَّلَهَا,wakaffalahā,dan memeliharanya,and put her in (the) care,และทรงให้ซะกะรียาอุปการะนาง,และทรงให้อุปการะนาง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ซะกะรียา' from verb/phrase to establish strict 1-to-1 match
3:39,1,فَنَادَتْهُ,fanādathu,maka memanggilnya,Then called him,แล้วเหล่ามะลาอิกะห์ได้เรียกเขา,แล้วได้เรียกเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'เหล่ามะลาอิกะห์' from verb/phrase to establish strict 1-to-1 match
3:40,8,بَلَغَنِىَ,balaghaniya,aku telah sampai,has reached me,ความชราได้มาถึงฉันแล้ว,ได้มาถึงฉันแล้ว,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ความชรา' from verb/phrase to establish strict 1-to-1 match
3:54,2,وَمَكَرَ,wamakara,dan membuat tipu daya,and planned,และอัลลอฮฺทรงวางแผน,และทรงวางแผน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:72,1,وَقَالَت,waqālat,dan berkata,And said,และกลุ่มหนึ่งกล่าวว่า,และกล่าวว่า,PHRASE_PACKING_UNPACKED,Unpacked following noun 'กลุ่มหนึ่ง' from verb/phrase to establish strict 1-to-1 match
3:79,5,يُؤْتِيَهُ,yu'tiyahu,memberikannya,gives him,อัลลอฮฺจะทรงประทานแก่เขา,จะทรงประทานแก่เขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:93,1,۞ كُلُّ,kullu,semua,All,อาหารทั้งหมด,ทั้งหมด,PHRASE_PACKING_UNPACKED,Unpacked following noun 'อาหาร' from verb/phrase to establish strict 1-to-1 match
3:140,14,وَلِيَعْلَمَ,waliyaʿlama,dan karena hendak mengetahui,[and] so that makes evident,และเพื่อให้อัลลอฮฺทรงรู้,และเพื่อให้กู้ยืมทรงรู้,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:141,1,وَلِيُمَحِّصَ,waliyumaḥḥiṣa,dan karena hendak membersihkan,And so that may purify,และเพื่อให้อัลลอฮฺทรงชำระให้บริสุทธิ์,และเพื่อให้กู้ยืมทรงชำระให้บริสุทธิ์,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:148,1,فَـَٔاتَٰهُمُ,faātāhumu,maka memberikan kepada mereka,So gave them,ดังนั้นอัลลอฮฺจึงประทาน,ดังนั้นจึงประทาน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
3:184,10,وَٱلزُّبُرِ,wal-zuburi,dan Zabur,and the Scriptures,และคัมภีร์ซะบูร,ซะบูร,PHRASE_PACKING_UNPACKED,Unpacked following noun 'และคัมภีร์' from verb/phrase to establish strict 1-to-1 match
4:5,4,أَمْوَٰلَكُمُ,amwālakumu,harta kamu,your wealth,ซึ่งทรัพย์สมบัติของพวกท่าน,ทรัพย์สมบัติของพวกท่าน,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ซึ่ง' from verb/phrase to establish strict 1-to-1 match
4:11,39,وَوَرِثَهُۥٓ,wawarithahu,dan mewarisinya,and inherit[ed] him,และพ่อแม่ของเขาได้รับมรดกจากเขา,และได้รับมรดกจากเขา,PHRASE_PACKING_UNPACKED,Unpacked following noun 'พ่อแม่ของเขา' from verb/phrase to establish strict 1-to-1 match
4:12,58,أَخٌ,akhun,saudara laki-laki,(is) a brother,พี่ชายหรือน้องชาย,พี่ชายน้องชาย,PHRASE_PACKING_UNPACKED,Unpacked following noun 'หรือ' from verb/phrase to establish strict 1-to-1 match
4:15,16,يَتَوَفَّٰهُنَّ,yatawaffāhunna,mewafatkan mereka,comes to them,ความตายจะมาเยือนพวกนาง,จะมาเยือนพวกนาง,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ความตาย' from verb/phrase to establish strict 1-to-1 match
4:19,30,وَيَجْعَلَ,wayajʿala,dan/padahal menjadikan,and has placed,และอัลลอฮฺทรงบันดาลให้มี,และทรงบันดาลให้มี,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:52,3,لَعَنَهُمُ,laʿanahumu,mengutuk mereka,(who have been) cursed,อัลลอฮฺทรงสาปแช่งพวกเขา,ทรงสาปแช่งพวกเขา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:60,25,وَيُرِيدُ,wayurīdu,dan menghendaki,And wishes,และชัยฏอนต้องการ,และต้องการ,PHRASE_PACKING_UNPACKED,Unpacked following noun 'ชัยฏอน' from verb/phrase to establish strict 1-to-1 match
4:61,7,أَنزَلَ,anzala,telah turunkan,(has) revealed,อัลลอฮฺได้ประทานลงมา,ได้ประทานลงมา,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:78,1,أَيْنَمَا,aynamā,dimana saja,Wherever,(misaligned/shifted),ไม่ว่าที่ใด,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,2,تَكُونُوا۟,takūnū,kalian menjadi,you be,(misaligned/shifted),พวกท่านจะอยู่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,3,يُدْرِككُّمُ,yud'rikkumu,akan mendapatkan kamu,will overtake you,(misaligned/shifted),ก็จะมาถึงพวกท่าน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,4,ٱلْمَوْتُ,l-mawtu,kematian,[the] death,(misaligned/shifted),ซึ่งความตาย,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,5,وَلَوْ,walaw,kendatipun,even if,(misaligned/shifted),แม้ว่า,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,6,كُنتُمْ,kuntum,kalian adalah,you are,(misaligned/shifted),พวกท่านจะอยู่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,7,فِى,fī,di dalam,in,(misaligned/shifted),ใน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,8,بُرُوجٍۢ,burūjin,benteng,towers,(misaligned/shifted),ป้อมปราการ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,9,مُّشَيَّدَةٍۢ ۗ,mushayyadatin,yang kokoh,lofty,(misaligned/shifted),อันสูงตระหง่าน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,10,وَإِن,wa-in,dan jika,And if,(misaligned/shifted),และหาก,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,11,تُصِبْهُمْ,tuṣib'hum,menimpa mereka,befalls them,(misaligned/shifted),มีสิ่งหนึ่งประสบแก่พวกเขา,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,12,حَسَنَةٌۭ,ḥasanatun,kebaikan,any good,(misaligned/shifted),ซึ่งความดี,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,13,يَقُولُوا۟,yaqūlū,mereka berkata,they say,(misaligned/shifted),พวกเขากล่าวว่า,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,14,هَٰذِهِۦ,hādhihi,ini,This,(misaligned/shifted),สิ่งนี้,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,15,مِنْ,min,dari,(is),(misaligned/shifted),มาจาก,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,16,عِندِ,ʿindi,sisi,from,(misaligned/shifted),ณ ที่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,17,ٱللَّهِ ۖ,l-lahi,Allah,Allah,(misaligned/shifted),อัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,18,وَإِن,wa-in,dan jika,And if,(misaligned/shifted),และหาก,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,19,تُصِبْهُمْ,tuṣib'hum,menimpa mereka,befalls them,(misaligned/shifted),มีสิ่งหนึ่งประสบแก่พวกเขา,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,20,سَيِّئَةٌۭ,sayyi-atun,kejahatan/bencana,any evil,(misaligned/shifted),ซึ่งความชั่วร้าย,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,21,يَقُولُوا۟,yaqūlū,mereka berkata,they say,(misaligned/shifted),พวกเขากล่าวว่า,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,22,هَٰذِهِۦ,hādhihi,ini,This,(misaligned/shifted),สิ่งนี้,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,23,مِنْ,min,dari,(is),(misaligned/shifted),มาจาก,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,24,عِندِكَ ۚ,ʿindika,sisi kamu,(from) you,(misaligned/shifted),ตัวเจ้า,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,25,قُلْ,qul,katakan,Say,(misaligned/shifted),จงกล่าวเถิด,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,26,كُلٌّۭ,kullun,semuanya,All,(misaligned/shifted),ทั้งหมดนั้น,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,27,مِّنْ,min,dari,(is),(misaligned/shifted),มาจาก,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,28,عِندِ,ʿindi,sisi,from,(misaligned/shifted),ณ ที่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,29,ٱللَّهِ ۖ,l-lahi,Allah,Allah,(misaligned/shifted),อัลลอฮฺ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,30,فَمَالِ,famāli,maka mengapa,So what (is wrong),(misaligned/shifted),เหตุใดเล่าที่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,31,هَٰٓؤُلَآءِ,hāulāi,mereka itu,(with) these,(misaligned/shifted),เหล่านี้,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,32,ٱلْقَوْمِ,l-qawmi,kaum,[the] people,(misaligned/shifted),กลุ่มชน,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,33,لَا,lā,tidak,not,(misaligned/shifted),จึงไม่,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,34,يَكَادُونَ,yakādūna,mereka hampir,do they seem,(misaligned/shifted),เกือบจะ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,35,يَفْقَهُونَ,yafqahūna,mereka memahami,(to) understand,(misaligned/shifted),เข้าใจ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:78,36,حَدِيثًۭا,ḥadīthan,pembicaraan,any statement,(misaligned/shifted),ถ้อยคำใดๆ,ALIGNMENT_SHIFT,Re-aligned word-by-word with Malay Kata demi kata standard
4:94,24,مَغَانِمُ,maghānimu,rampasan perang,(are) booties,คือผลประโยชน์อันมากมาย,คือผลประโยชน์,PHRASE_PACKING_UNPACKED,Unpacked following noun 'อันมากมาย' from verb/phrase to establish strict 1-to-1 match
4:94,30,فَمَنَّ,famanna,maka menganugerahkan nikmat,then conferred favor,แล้วอัลลอฮฺก็ทรงประทานความโปรดปราน,แล้วก็ทรงประทานความโปรดปราน,DOUBLE_SUBJECT_PACKING,Removed redundant subject name from verb to align with Malay Kata demi kata
4:95,1,لَّا,lā,tidaklah,Not,ไม่เท่ากัน,ไม่,PHRASE_PACKING_UNPACKED,Unpacked following noun 'เท่ากัน' from verb/phrase to establish strict 1-to-1 match
